gem-location-id,gem-unit/phase-id,country/area,unit-name,plant-name,plant-name-(other),plant-name-(local),capacity-(mw),status,start-year,retired-year,location-accuracy,owner,parent,lat,lng,combustion-technology,region,url,"subnational-unit-(province,-state)"
L100000103024,G100000109683,Malaysia,Unit 5,Sultan Aziz power station,"KEV power station, Kapar power station",,500.0,operating,2000,,exact,Kapar Energy Ventures Sdn Bhd [100%],Tenaga Nasional Bhd [60.0%]; Malakoff Corporation Bhd [40.0%],3.117221,101.320369,subcritical,Asia,https://www.gem.wiki/Sultan_Aziz_power_station,Selangor
L100000103024,G100000109684,Malaysia,Unit 6,Sultan Aziz power station,"KEV power station, Kapar power station",,500.0,operating,2000,,exact,Kapar Energy Ventures Sdn Bhd [100%],Tenaga Nasional Bhd [60.0%]; Malakoff Corporation Bhd [40.0%],3.117221,101.320369,subcritical,Asia,https://www.gem.wiki/Sultan_Aziz_power_station,Selangor
L100000103014,G100000109948,Malaysia,Unit 1,Tanjung Bin power station,,,700.0,operating,2006,,exact,Malakoff Corporation Bhd [100%],Malakoff Corporation Bhd [100.0%],1.334,103.5422,subcritical,Asia,https://www.gem.wiki/Tanjung_Bin_power_station,Johor
L100000103014,G100000109949,Malaysia,Unit 2,Tanjung Bin power station,,,700.0,operating,2007,,exact,Malakoff Corporation Bhd [100%],Malakoff Corporation Bhd [100.0%],1.334,103.5422,subcritical,Asia,https://www.gem.wiki/Tanjung_Bin_power_station,Johor
L100000103014,G100000109950,Malaysia,Unit 3,Tanjung Bin power station,,,700.0,operating,2007,,exact,Malakoff Corporation Bhd [100%],Malakoff Corporation Bhd [100.0%],1.334,103.5422,subcritical,Asia,https://www.gem.wiki/Tanjung_Bin_power_station,Johor
L100000103014,G100000109951,Malaysia,Unit 4,Tanjung Bin power station,,,1000.0,operating,2016,,exact,Malakoff Corporation Bhd [100%],Malakoff Corporation Bhd [100.0%],1.334,103.5422,ultra-supercritical,Asia,https://www.gem.wiki/Tanjung_Bin_power_station,Johor
L100000104848,G100000115137,Malaysia,Unit 1,Unnamed Malaysia coal projects,,,700.0,cancelled,2031,,approximate,to be determined [100%],to be determined [100.0%],1.88,111.58,unknown,Asia,https://www.gem.wiki/Unnamed_Malaysia_coal_projects,Unknown
L100000104848,G100000115138,Malaysia,Unit 2,Unnamed Malaysia coal projects,,,700.0,cancelled,2031,,approximate,to be determined [100%],to be determined [100.0%],1.88,111.58,unknown,Asia,https://www.gem.wiki/Unnamed_Malaysia_coal_projects,Unknown
L100000104848,G100000115139,Malaysia,Unit 3,Unnamed Malaysia coal projects,,,700.0,cancelled,2034,,approximate,to be determined [100%],to be determined [100.0%],1.88,111.58,unknown,Asia,https://www.gem.wiki/Unnamed_Malaysia_coal_projects,Unknown
L100000104848,G100000115140,Malaysia,Unit 4,Unnamed Malaysia coal projects,,,700.0,cancelled,2037,,approximate,to be determined [100%],to be determined [100.0%],1.88,111.58,unknown,Asia,https://www.gem.wiki/Unnamed_Malaysia_coal_projects,Unknown
L100000103028,G100000111945,Mauritius,Unit 1,Pointe Aux Caves power station,,,55.0,cancelled,,,approximate,Mauritius CT Power Ltd [100%],Mauritius CT Power Ltd [100.0%],-20.333333,57.416667,subcritical,Africa,https://www.gem.wiki/Pointe_Aux_Caves_power_station,Riviere Noire
L100000103028,G100000111946,Mauritius,Unit 2,Pointe Aux Caves power station,,,55.0,cancelled,,,approximate,Mauritius CT Power Ltd [100%],Mauritius CT Power Ltd [100.0%],-20.333333,57.416667,subcritical,Africa,https://www.gem.wiki/Pointe_Aux_Caves_power_station,Riviere Noire
L100000103026,G100000101845,Mauritius,--,Saint-Aubin power station,CTDS power station,,35.0,operating,2005,,exact,Sugar Investment Trust; Albioma SAS; Omnicane Thermal Energy Operations Saint-Aubin Ltd,Government of Mauritius; KKR & Co. Inc; MCB Equity Fund Ltd; Omnicane Ltd; The National Pensions Fund (Mauritius),-20.507973,57.542331,subcritical,Africa,https://www.gem.wiki/Saint-Aubin_power_station,Savanne
